config,mode,seed,completed,steps_executed,diverged,disposed,remaining_green,remaining_yellow,remaining_red,remaining_total,messages_total
C4_red_limited,step3_orchestrator_uncertainty,3110,True,105,False,5,0,0,0,0,68
C4_red_limited,step1_no_communication,3111,True,189,False,5,0,0,0,0,0
C4_red_limited,step2_communication,3111,True,387,False,6,0,0,0,0,298
C4_red_limited,step3_orchestrator_nearest,3111,True,117,False,5,0,0,0,0,74
C4_red_limited,step3_orchestrator_uncertainty,3111,True,107,False,5,0,0,0,0,72
C4_red_limited,step1_no_communication,3112,True,457,False,5,0,0,0,0,0
C4_red_limited,step2_communication,3112,True,127,False,5,0,0,0,0,77
C4_red_limited,step3_orchestrator_nearest,3112,True,129,False,5,0,0,0,0,72
C4_red_limited,step3_orchestrator_uncertainty,3112,True,117,False,5,0,0,0,0,62
C4_red_limited,step1_no_communication,3113,True,392,False,5,0,0,0,0,0
C4_red_limited,step2_communication,3113,True,122,False,5,0,0,0,0,74
C4_red_limited,step3_orchestrator_nearest,3113,True,226,False,5,0,0,0,0,66
C4_red_limited,step3_orchestrator_uncertainty,3113,True,126,False,5,0,0,0,0,74
C4_red_limited,step1_no_communication,3114,True,157,False,5,0,0,0,0,0
C4_red_limited,step2_communication,3114,True,211,False,6,0,0,0,0,204
C4_red_limited,step3_orchestrator_nearest,3114,True,101,False,5,0,0,0,0,69
C4_red_limited,step3_orchestrator_uncertainty,3114,True,99,False,5,0,0,0,0,72
C4_red_limited,step1_no_communication,3115,False,500,True,4,0,0,1,1,0
C4_red_limited,step2_communication,3115,True,126,False,5,0,0,0,0,68
C4_red_limited,step3_orchestrator_nearest,3115,True,104,False,5,0,0,0,0,73
C4_red_limited,step3_orchestrator_uncertainty,3115,True,100,False,5,0,0,0,0,78
C4_red_limited,step1_no_communication,3116,True,166,False,5,0,0,0,0,0
C4_red_limited,step2_communication,3116,True,106,False,5,0,0,0,0,66
C4_red_limited,step3_orchestrator_nearest,3116,True,100,False,5,0,0,0,0,71
C4_red_limited,step3_orchestrator_uncertainty,3116,True,106,False,5,0,0,0,0,70
C4_red_limited,step1_no_communication,3117,True,150,False,5,0,0,0,0,0
C4_red_limited,step2_communication,3117,True,120,False,5,0,0,0,0,134
C4_red_limited,step3_orchestrator_nearest,3117,True,108,False,5,0,0,0,0,69
C4_red_limited,step3_orchestrator_uncertainty,3117,True,108,False,5,0,0,0,0,66
C4_red_limited,step1_no_communication,3118,True,162,False,5,0,0,0,0,0
C4_red_limited,step2_communication,3118,True,114,False,5,0,0,0,0,121
C4_red_limited,step3_orchestrator_nearest,3118,True,100,False,5,0,0,0,0,73
C4_red_limited,step3_orchestrator_uncertainty,3118,True,104,False,5,0,0,0,0,76
C4_red_limited,step1_no_communication,3119,True,418,False,5,0,0,0,0,0
C4_red_limited,step2_communication,3119,True,128,False,5,0,0,0,0,66
C4_red_limited,step3_orchestrator_nearest,3119,True,158,False,5,0,0,0,0,86
C4_red_limited,step3_orchestrator_uncertainty,3119,True,224,False,5,0,0,0,0,84
